trials,dice,user_choice_odd-even,whether_to_lie,actual_answer,dealer_answer,initial_reward,trust_rating,open_reward,open_penalty,user_response_open,choice_reward,balance
1,6,odd,truth,wrong,wrong,-500,5,200,-1000,open,-1000,8500
2,4,odd,truth,wrong,wrong,-500,6,500,-1000,open,-1000,7000
3,5,even,lie,wrong,correct,500,7,500,-200,not_open,-1,7500
4,3,odd,truth,correct,correct,500,5,1000,-500,open,-500,7500
5,2,even,lie,correct,wrong,-500,7,200,-500,not_open,-1,7000
6,5,odd,truth,correct,correct,500,6,1000,-1000,open,-1000,6500
7,6,even,lie,correct,wrong,-500,7,500,-500,not_open,-1,6000
8,6,even,lie,correct,wrong,-500,6,500,-200,not_open,-1,5500
9,6,even,lie,correct,wrong,-500,7,1000,-500,open,1000,6000
10,6,even,lie,correct,wrong,-500,5,200,-500,open,200,5700
11,5,odd,truth,correct,correct,500,1,1000,-500,open,-500,5700
12,4,even,lie,correct,wrong,-500,6,500,-1000,not_open,-1,5200
13,6,odd,lie,wrong,correct,500,6,200,-1000,open,200,5900
14,4,odd,truth,wrong,wrong,-500,5,1000,-500,not_open,-1,5400
15,2,even,lie,correct,wrong,-500,5,1000,-200,open,1000,5900
16,3,odd,truth,correct,correct,500,5,200,-500,open,-500,5900
17,4,odd,lie,wrong,correct,500,5,200,-1000,open,200,6600
18,5,odd,lie,correct,wrong,-500,5,1000,-200,open,1000,7100
19,5,odd,lie,correct,wrong,-500,5,200,-1000,open,200,6800
20,6,odd,truth,wrong,wrong,-500,4,500,-1000,open,-1000,5300
21,4,even,truth,correct,correct,500,5,200,-200,open,-200,5600
22,1,even,lie,wrong,correct,500,5,500,-200,not_open,-1,6100
23,2,odd,truth,wrong,wrong,-500,5,500,-1000,open,-1000,4600
24,5,odd,truth,correct,correct,500,4,1000,-1000,not_open,-1,5100
25,5,odd,truth,correct,correct,500,4,200,-200,open,-200,5400
26,2,odd,lie,wrong,correct,500,4,1000,-200,open,1000,6900
27,2,even,truth,correct,correct,500,4,500,-500,not_open,-1,7400
28,4,even,lie,correct,wrong,-500,4,200,-200,open,200,7100
29,2,odd,lie,wrong,correct,500,4,200,-200,open,200,7800
30,6,odd,lie,wrong,correct,500,4,1000,-200,open,1000,9300
31,6,even,truth,correct,correct,500,4,500,-500,open,-500,9300
32,6,even,lie,correct,wrong,-500,4,1000,-1000,open,1000,9800
33,1,even,lie,wrong,correct,500,4,500,-200,not_open,-1,10300
34,6,odd,lie,wrong,correct,500,1,200,-500,open,200,11000
35,2,even,truth,correct,correct,500,4,500,-500,not_open,-1,11500
36,1,even,lie,wrong,correct,500,4,1000,-1000,open,1000,13000
