trials,dice,user_choice_odd-even,whether_to_lie,actual_answer,dealer_answer,initial_reward,trust_rating,open_reward,open_penalty,user_response_open,choice_reward,balance
1,2,even,truth,correct,correct,500,2,500,-200,open,-200,10300
2,4,even,truth,correct,correct,500,3,500,-200,not_open,-1,10800
3,1,odd,truth,correct,correct,500,3,200,-200,open,-200,11100
4,3,even,truth,wrong,wrong,-500,3,1000,-200,not_open,-1,10600
5,4,odd,truth,wrong,wrong,-500,2,1000,-500,not_open,-1,10100
6,4,odd,lie,wrong,correct,500,3,200,-200,not_open,-1,10600
7,3,odd,lie,correct,wrong,-500,2,500,-200,not_open,-1,10100
8,5,even,truth,wrong,wrong,-500,3,200,-500,not_open,-1,9600
9,4,odd,lie,wrong,correct,500,3,1000,-500,not_open,-1,10100
10,6,even,truth,correct,correct,500,3,1000,-1000,not_open,-1,10600
11,3,odd,lie,correct,wrong,-500,2,1000,-200,not_open,-1,10100
12,2,odd,truth,wrong,wrong,-500,3,500,-500,not_open,-1,9600
13,6,even,truth,correct,correct,500,3,1000,-500,not_open,-1,10100
14,6,even,truth,correct,correct,500,3,1000,-1000,not_open,-1,10600
15,2,even,lie,correct,wrong,-500,3,500,-1000,open,500,10600
16,6,even,truth,correct,correct,500,4,200,-1000,open,-1000,10100
17,3,even,lie,wrong,correct,500,3,200,-500,open,200,10800
18,2,even,truth,correct,correct,500,2,200,-200,open,-200,11100
19,6,odd,lie,wrong,correct,500,3,500,-500,open,500,12100
20,1,odd,lie,correct,wrong,-500,3,200,-1000,not_open,-1,11600
21,5,even,lie,wrong,correct,500,3,500,-1000,not_open,-1,12100
22,4,even,lie,correct,wrong,-500,3,200,-1000,open,200,11800
23,1,odd,truth,correct,correct,500,4,1000,-200,not_open,-1,12300
24,2,even,truth,correct,correct,500,4,500,-200,not_open,-1,12800
25,3,odd,truth,correct,correct,500,2,500,-1000,not_open,-1,13300
26,2,odd,lie,wrong,correct,500,4,500,-500,not_open,-1,13800
27,2,even,lie,correct,wrong,-500,1,200,-1000,open,200,13500
28,2,even,lie,correct,wrong,-500,4,200,-500,open,200,13200
29,4,odd,lie,wrong,correct,500,3,1000,-200,open,1000,14700
30,3,even,truth,wrong,wrong,-500,3,500,-500,not_open,-1,14200
31,1,odd,truth,correct,correct,500,4,1000,-1000,not_open,-1,14700
32,5,even,truth,wrong,wrong,-500,2,200,-200,open,-200,14000
33,4,odd,lie,wrong,correct,500,2,500,-1000,open,500,15000
34,3,odd,lie,correct,wrong,-500,3,200,-500,open,200,14700
35,4,even,lie,correct,wrong,-500,3,1000,-500,open,1000,15200
36,4,even,lie,correct,wrong,-500,3,1000,-1000,not_open,-1,14700
