trials,dice,user_choice_odd-even,whether_to_lie,actual_answer,dealer_answer,initial_reward,trust_rating,open_reward,open_penalty,user_response_open,choice_reward,balance
1,5,odd,truth,correct,correct,500,6,500,-500,open,-500,10000
2,1,odd,truth,correct,correct,500,6,500,-200,open,-200,10300
3,6,odd,truth,wrong,wrong,-500,6,1000,-200,open,-200,9600
4,4,even,lie,correct,wrong,-500,6,500,-500,not_open,-1,9100
5,3,even,lie,wrong,correct,500,6,1000,-200,open,1000,10600
6,6,even,truth,correct,correct,500,6,500,-500,not_open,-1,11100
7,4,odd,lie,wrong,correct,500,6,500,-1000,not_open,-1,11600
8,5,odd,lie,correct,wrong,-500,6,200,-500,not_open,-1,11100
9,5,even,truth,wrong,wrong,-500,6,500,-1000,not_open,-1,10600
10,1,odd,lie,correct,wrong,-500,6,1000,-500,open,1000,11100
11,5,even,lie,wrong,correct,500,6,200,-1000,not_open,-1,11600
12,5,even,truth,wrong,wrong,-500,5,1000,-500,not_open,-1,11100
13,6,odd,lie,wrong,correct,500,6,200,-500,not_open,-1,11600
14,3,even,truth,wrong,wrong,-500,7,1000,-1000,not_open,-1,11100
15,3,even,lie,wrong,correct,500,6,1000,-200,open,1000,12600
16,3,odd,lie,correct,wrong,-500,6,1000,-500,not_open,-1,12100
17,2,odd,truth,wrong,wrong,-500,6,200,-1000,not_open,-1,11600
18,3,odd,lie,correct,wrong,-500,6,200,-1000,not_open,-1,11100
19,5,odd,truth,correct,correct,500,6,1000,-1000,not_open,-1,11600
20,4,odd,lie,wrong,correct,500,6,200,-200,not_open,-1,12100
21,1,odd,truth,correct,correct,500,6,500,-200,not_open,-1,12600
22,1,odd,lie,correct,wrong,-500,7,500,-200,not_open,-1,12100
23,4,even,lie,correct,wrong,-500,7,200,-500,not_open,-1,11600
24,4,even,truth,correct,correct,500,6,1000,-200,open,-200,11900
25,5,odd,truth,correct,correct,500,6,200,-200,not_open,-1,12400
26,6,odd,truth,wrong,wrong,-500,6,1000,-1000,not_open,-1,11900
27,5,even,truth,wrong,wrong,-500,6,200,-500,not_open,-1,11400
28,1,even,lie,wrong,correct,500,6,500,-1000,not_open,-1,11900
29,6,odd,truth,wrong,wrong,-500,6,1000,-1000,not_open,-1,11400
30,6,odd,truth,wrong,wrong,-500,6,1000,-500,open,-500,10400
31,1,even,lie,wrong,correct,500,6,200,-1000,not_open,-1,10900
32,4,even,truth,correct,correct,500,6,500,-200,open,-200,11200
33,5,even,lie,wrong,correct,500,6,200,-200,not_open,-1,11700
34,6,odd,truth,wrong,wrong,-500,6,500,-500,not_open,-1,11200
35,2,even,lie,correct,wrong,-500,7,500,-1000,not_open,-1,10700
36,3,even,truth,wrong,wrong,-500,6,200,-200,not_open,-1,10200
