trials,dice,user_choice_odd-even,whether_to_lie,actual_answer,dealer_answer,initial_reward,trust_rating,open_reward,open_penalty,user_response_open,choice_reward,balance
1,4,even,truth,correct,correct,500,7,200,-500,open,-500,10000
2,5,odd,lie,correct,wrong,-500,7,500,-1000,not_open,-1,9500
3,3,odd,truth,correct,correct,500,7,1000,-500,open,-500,9500
4,4,odd,truth,wrong,wrong,-500,7,200,-200,not_open,-1,9000
5,5,odd,lie,correct,wrong,-500,7,200,-200,not_open,-1,8500
6,3,odd,lie,correct,wrong,-500,6,1000,-500,open,1000,9000
7,5,odd,lie,correct,wrong,-500,6,200,-500,not_open,-1,8500
8,3,even,lie,wrong,correct,500,6,500,-1000,not_open,-1,9000
9,5,even,truth,wrong,wrong,-500,6,1000,-1000,not_open,-1,8500
10,5,odd,lie,correct,wrong,-500,6,500,-500,not_open,-1,8000
11,2,odd,truth,wrong,wrong,-500,6,1000,-200,not_open,-1,7500
12,2,odd,truth,wrong,wrong,-500,6,200,-200,not_open,-1,7000
13,2,odd,truth,wrong,wrong,-500,6,500,-200,not_open,-1,6500
14,2,odd,lie,wrong,correct,500,7,1000,-1000,not_open,-1,7000
15,6,odd,lie,wrong,correct,500,7,500,-500,not_open,-1,7500
16,2,even,truth,correct,correct,500,7,200,-500,not_open,-1,8000
17,1,even,lie,wrong,correct,500,7,1000,-1000,not_open,-1,8500
18,1,odd,truth,correct,correct,500,7,200,-1000,not_open,-1,9000
19,5,odd,lie,correct,wrong,-500,7,1000,-200,not_open,-1,8500
20,2,even,truth,correct,correct,500,7,500,-1000,not_open,-1,9000
21,6,odd,lie,wrong,correct,500,8,1000,-500,not_open,-1,9500
22,2,odd,lie,wrong,correct,500,8,500,-500,not_open,-1,10000
23,6,even,lie,correct,wrong,-500,8,500,-200,not_open,-1,9500
24,4,even,truth,correct,correct,500,8,500,-500,not_open,-1,10000
25,4,even,truth,correct,correct,500,8,200,-1000,not_open,-1,10500
26,6,even,truth,correct,correct,500,8,200,-1000,not_open,-1,11000
27,4,odd,truth,wrong,wrong,-500,8,500,-200,not_open,-1,10500
28,2,odd,lie,wrong,correct,500,8,200,-500,not_open,-1,11000
29,4,even,truth,correct,correct,500,8,1000,-200,open,-200,11300
30,6,even,lie,correct,wrong,-500,7,500,-1000,not_open,-1,10800
31,1,even,truth,wrong,wrong,-500,7,1000,-500,not_open,-1,10300
32,6,odd,lie,wrong,correct,500,7,1000,-1000,not_open,-1,10800
33,4,odd,lie,wrong,correct,500,7,1000,-200,open,1000,12300
34,2,even,truth,correct,correct,500,7,200,-200,not_open,-1,12800
35,4,odd,truth,wrong,wrong,-500,6,200,-1000,not_open,-1,12300
36,3,even,truth,wrong,wrong,-500,6,500,-200,open,-200,11600
