trials,dice,user_choice_odd-even,whether_to_lie,actual_answer,dealer_answer,initial_reward,trust_rating,open_reward,open_penalty,user_response_open,choice_reward,balance
1,2,odd,truth,wrong,wrong,-500,3,1000,-200,open,-200,9300
2,1,odd,truth,correct,correct,500,5,1000,-200,not_open,-1,9800
3,5,odd,truth,correct,correct,500,5,1000,-500,not_open,-1,10300
4,2,odd,truth,wrong,wrong,-500,5,200,-500,open,-500,9300
5,4,odd,truth,wrong,wrong,-500,6,500,-200,open,-200,8600
6,4,odd,truth,wrong,wrong,-500,7,200,-1000,not_open,-1,8100
7,3,odd,truth,correct,correct,500,7,1000,-1000,not_open,-1,8600
8,3,odd,truth,correct,correct,500,7,1000,-200,not_open,-1,9100
9,1,odd,truth,correct,correct,500,7,1000,-500,not_open,-1,9600
10,5,odd,truth,correct,correct,500,7,1000,-1000,not_open,-1,10100
11,6,odd,truth,wrong,wrong,-500,7,500,-200,not_open,-1,9600
12,4,odd,truth,wrong,wrong,-500,7,1000,-500,not_open,-1,9100
13,6,odd,lie,wrong,correct,500,7,1000,-200,not_open,-1,9600
14,2,odd,lie,wrong,correct,500,7,500,-200,not_open,-1,10100
15,3,odd,lie,correct,wrong,-500,7,500,-500,not_open,-1,9600
16,3,odd,truth,correct,correct,500,7,200,-200,not_open,-1,10100
17,1,odd,lie,correct,wrong,-500,7,500,-500,not_open,-1,9600
18,2,odd,truth,wrong,wrong,-500,5,500,-1000,open,-1000,8100
19,2,odd,truth,wrong,wrong,-500,7,200,-200,not_open,-1,7600
20,1,odd,truth,correct,correct,500,7,500,-1000,not_open,-1,8100
21,5,odd,lie,correct,wrong,-500,7,200,-500,not_open,-1,7600
22,5,odd,truth,correct,correct,500,7,1000,-1000,not_open,-1,8100
23,2,odd,lie,wrong,correct,500,7,200,-500,not_open,-1,8600
24,3,odd,lie,correct,wrong,-500,7,500,-1000,not_open,-1,8100
25,4,odd,truth,wrong,wrong,-500,7,200,-1000,not_open,-1,7600
26,5,odd,truth,correct,correct,500,7,200,-500,not_open,-1,8100
27,3,odd,truth,correct,correct,500,7,200,-200,not_open,-1,8600
28,4,odd,lie,wrong,correct,500,7,500,-1000,not_open,-1,9100
29,2,odd,lie,wrong,correct,500,7,200,-1000,not_open,-1,9600
30,6,odd,lie,wrong,correct,500,8,200,-1000,not_open,-1,10100
31,1,odd,truth,correct,correct,500,8,500,-500,not_open,-1,10600
32,1,odd,truth,correct,correct,500,9,200,-200,not_open,-1,11100
33,5,odd,truth,correct,correct,500,9,500,-500,not_open,-1,11600
34,3,odd,truth,correct,correct,500,9,1000,-1000,not_open,-1,12100
35,3,odd,truth,correct,correct,500,9,1000,-500,not_open,-1,12600
36,3,odd,lie,correct,wrong,-500,9,500,-200,not_open,-1,12100
